file,rank,accuracy,precision,recall,f1
madelon.csv,slope_rank,0.7584615384615384,0.7604369506255679,0.7584615384615384,0.7580308193425285
madelon.csv,random_forest,0.8784615384615384,0.8789448679238347,0.8784615384615384,0.8784220186525069
madelon.csv,gini,0.8903846153846153,0.8908651444824522,0.8903846153846153,0.890349689970507
madelon.csv,info_gain,0.773076923076923,0.7740145935779926,0.773076923076923,0.7728818754467345
madelon.csv,chi2,0.8738461538461537,0.8741860942686921,0.8738461538461537,0.873817079431204
sceneCsvBeach.csv,slope_rank,0.8138606500691562,0.8025937478645144,0.8138606500691562,0.7931887890598491
sceneCsvBeach.csv,random_forest,0.8134508990318118,0.8069080573409659,0.8134508990318118,0.7942506437164225
sceneCsvBeach.csv,gini,0.8334007607192255,0.8288066054613878,0.8334007607192255,0.8170070507869722
sceneCsvBeach.csv,info_gain,0.7847925311203319,0.7730638178468321,0.7847925311203319,0.7530055339736179
sceneCsvBeach.csv,chi2,0.7777247579529738,0.7515407549498123,0.7777247579529738,0.7395977609684145
semeion.csv,slope_rank,0.45009433962264156,0.47436791551905555,0.45009433962264156,0.4135901536365477
semeion.csv,random_forest,0.5737382075471698,0.5977822866758882,0.5737382075471698,0.56856442442685
semeion.csv,gini,0.6986910377358491,0.7077754074807546,0.6986910377358491,0.6953252458648304
semeion.csv,info_gain,0.47520047169811325,0.5228420974652218,0.47520047169811325,0.4535940213386044
semeion.csv,chi2,0.4676493710691824,0.48641147160260634,0.4676493710691824,0.4370082027755252
sonar.csv,slope_rank,0.7214285714285714,0.7432796674225246,0.7214285714285714,0.7153013063622836
sonar.csv,random_forest,0.7259523809523809,0.7625043134253662,0.7259523809523809,0.7116657062828687
sonar.csv,gini,0.7173809523809523,0.7387853442853444,0.7173809523809523,0.7125718360036438
sonar.csv,info_gain,0.7259523809523809,0.7662510465724752,0.7259523809523809,0.7117562158591055
sonar.csv,chi2,0.7316666666666667,0.7551067930085787,0.7316666666666667,0.7265655463817227
spam.csv,slope_rank,0.897846364236537,0.8985025779891208,0.897846364236537,0.8974030147500883
spam.csv,random_forest,0.9245779496368952,0.9253022240148183,0.9245779496368952,0.9243761978809719
spam.csv,gini,0.9276214278977649,0.9285501176037012,0.9276214278977649,0.9275330717262324
spam.csv,info_gain,0.9217513911157219,0.9229733553168226,0.9217513911157219,0.9217075732607135
spam.csv,chi2,0.9126233141563709,0.9159340067183273,0.9126233141563709,0.9127763059973821
urbanLandCover.csv,slope_rank,0.684657594381036,0.6916380554427073,0.684657594381036,0.6697799699059463
urbanLandCover.csv,random_forest,0.8282045654082528,0.8386271394930306,0.8282045654082528,0.8249779554491242
urbanLandCover.csv,gini,0.8860184372256364,0.8967590589100685,0.8860184372256364,0.8840510497096572
urbanLandCover.csv,info_gain,0.8178665496049167,0.8278153531182504,0.8178665496049167,0.8123789290694395
urbanLandCover.csv,chi2,0.7584723441615451,0.7725539622313107,0.7584723441615451,0.7544427456216682
