feature,slope_rank,random_forest,gini,info_gain,chi2,slope_rank_gb,slope_rank_minmax,slope_rank_std,slope_rank_gb_std,slope_rank_gb_minmax
word_freq_make,0.0017702678158484,0.0031608488458902,0.0044560100867627,0.0031303280165421,65.34435077535548,2.220830744643326e-16,0.0107139274109844,0.0005894141716371,5.744893725242412e-17,0.005912669928739672
word_freq_address,0.0127967487026285,0.0049161807651995,0.0006836224312155,0.0010567416424855,32.85541453194217,0.0001540146136726,0.2094579287259421,0.0235584229981006,2.945427524275704e-16,0.001658723362589905
word_freq_all,0.0009028357416903,0.0095005851587797,0.0025369633127036,0.0008774552454544,161.6477328533838,1.5518699059629203e-17,0.0014937226267993,0.0005288281513857,3.947609587413569e-05,1.6188335183823271e-16
word_freq_3d,0.0006585240417807,0.0012770898830981,0.0016814099563405,0.0,450.4515774670471,0.0056539350876709,0.0264791454336229,0.0008981518934532,0.00805504417938382,0.2420449611031922
word_freq_our,0.0302886610108495,0.0296693208641465,0.0137074718456817,0.0271626983091273,389.97658389550605,0.4814985681643761,0.3745744749575589,0.0247314226939293,0.32383426134743104,4.814985681643759
word_freq_over,0.0212037307621123,0.0068660074394556,0.0073576273238481,0.0027779061572408,194.5870578326085,0.0017636615400458,0.1319621817612568,0.0054280086596481,0.00048287305413530224,0.010370329855467405
word_freq_remove,0.2004223988229211,0.0874721308767717,0.156740711602019,0.129636364137357,680.7362057920413,1.413652596848271,1.355009091344584,0.0839223385009721,0.5531904000740959,10.277254379086932
word_freq_internet,0.0744150983822628,0.0132562652931673,0.0073143719767726,0.0090222907277495,300.560780064359,0.6173048928722955,1.0342594758386856,0.0262927732182191,0.24755447315946882,6.8582573598111995
word_freq_order,0.0100476851388372,0.0051087944841417,0.000455748287477,0.0010922260317587,212.56753701466647,0.0207178025675958,0.067367372094571,0.0027949211329174,0.005771410795387735,0.108975641505553
word_freq_mail,0.0026448273562822,0.008220830883119,0.006486755387796,0.0031121517014687,154.23842738995444,0.0001329990140052,0.0682921516383921,0.0010228544706742,0.00015776628011499518,2.2544211072734934e-15
word_freq_receive,0.0649827299251322,0.0075732963636225,0.0054891292904805,0.0096971888300767,171.79853461870357,4.904221040659684e-16,0.1353289396696506,0.0199651614504675,3.3223627369289416e-17,2.333960922326916e-15
word_freq_will,0.0051598168805762,0.0113434583907549,0.0066287493272798,0.0170744341977175,0.3778094811426654,0.1384945773117008,0.046710864234911,0.0043096254193928,0.11935415496161349,1.339664421163763
word_freq_people,0.0090895292763806,0.0038442032711443,0.0037859359924355,0.0,78.41810928325273,2.3861188033430086e-16,0.0315030946710411,0.0027644230495294,9.364469705821394e-17,3.609983135254707e-16
word_freq_report,0.0111729559437092,0.0018850309519868,0.0008900358251156,0.0,31.763524470940048,1.8642013521531248e-15,0.1837783650130876,0.0090574024608588,6.788333316660883e-16,9.38048656547438e-15
word_freq_addresses,0.0782399328352786,0.0012473346290086,0.0004359331445432,0.0,240.3847728614851,8.298360718581746e-16,0.2350691203575123,0.0122048856621614,1.62517364059374e-16,8.413681901749112e-15
word_freq_free,0.0861891801266529,0.0782983017239961,0.0337731877739867,0.0312378498537088,873.3430100193484,0.6914297356766677,1.463708604220103,0.0670039016867736,0.5711078869879638,13.82859471353335
word_freq_business,0.0524032570694222,0.0113826200491791,0.0090744663580829,0.0074712002636898,440.6957183684565,0.3547176257205782,0.3475853313904243,0.0213857201270915,0.15740447107671013,2.512644531441131
word_freq_email,0.0098172582269429,0.0084989900355104,0.0058721131631375,0.0131241043499325,292.9013654375618,0.0790102829771312,0.1007528411109489,0.0036639640176147,0.04218916965157986,0.718203472262124
word_freq_you,0.0091118638877551,0.0255718965691366,0.0205046341295549,0.016294861958066,653.3226038618103,0.0471811917282639,0.1592273530486639,0.0136074686919617,0.08374688068782961,0.8849075088261863
word_freq_credit,0.0842808875693391,0.0041931467054701,0.0017407617252412,0.0011949451848042,502.9888695008548,0.5983620854324885,1.1116129743527732,0.0288603904648596,0.30497109747638174,10.878222713162652
word_freq_your,0.0146386597339668,0.060324500280063,0.0112099816809196,0.0182544938449052,1203.031856674533,0.1664080232885613,0.1565360853387262,0.0175256851115921,0.19966779043117627,1.8493343509315725
word_freq_font,0.0010695735958204,0.0024097108522233,0.0051296734971598,0.0030405500585916,336.9689908391815,0.0084629961973888,0.0213910273635543,0.0020700099645201,0.008674498653259794,0.14471723497534905
word_freq_000,0.1634894282024443,0.0242530510908995,0.0062901830908164,0.0060077148714174,622.3782733023107,1.013264165546952,0.8207539376490025,0.0645076109150134,0.3548164448332018,5.522289702230886
word_freq_money,0.0703564549731341,0.0323563157075208,0.0184903973323078,0.0066068725876677,446.5157822846165,0.2025494435539711,0.5647481174181916,0.021210417967806,0.08964619273752869,2.5318680444246384
word_freq_hp,0.0246189032519492,0.0461080138215467,0.0456912518190403,0.0708900457805933,1541.1693319137112,0.2873018914045788,0.5641566413897388,0.0472307213111085,0.48014592528056543,5.984498397957375
word_freq_hpl,0.0264966761219217,0.0170216936937538,0.0030115948736052,0.0027808359248912,740.0798993648843,0.0200154014931245,0.5810578242147483,0.0294266547949155,0.017752730404234862,0.3334565888754572
word_freq_george,0.0162070693051806,0.0223857912141316,0.020018322151468,0.0374895624940674,2286.488273150677,0.0852993852787474,0.5061957742583139,0.0521467665959977,0.28593668105625963,2.8366177446494176
word_freq_650,0.0255888034195623,0.0046219133767451,0.006505323897169,0.0,269.5159647730808,0.6283370539872211,0.1748313793058913,0.0045386188019201,0.3383722764245669,5.711583820743842
word_freq_lab,0.0523687807859246,0.0015509504480467,0.0016928331942917,0.0,291.8735289767109,6.87895430462125e-16,0.6302586918951395,0.0183965326748027,1.8708419155023862e-16,1.1435246882533634e-14
word_freq_labs,0.0181462214902254,0.0048003827999111,0.0013982654917884,0.0,273.05268689925776,0.0061165146898046,0.1807175179113589,0.010503149716805,0.0027935528608106237,0.03596510637605385
word_freq_telnet,0.0986228680992124,0.0022003129903275,0.0006836224312155,0.0,186.1906743268246,3.9849784453878514e-16,1.066726112212789,0.0373553438676141,8.674131870284691e-17,1.4939259450587042e-14
word_freq_857,0.0,0.0004764501443381,0.0,0.0,137.68217043215918,0.0,0.0,0.0,0.0,0.0
word_freq_data,0.0099723766164368,0.0026300651226303,0.0026769463633015,0.0047170569832453,210.2956204585069,8.107136168955538e-16,0.3848449641038167,0.0110582214795942,8.801474200275638e-16,1.135504601905116e-14
word_freq_415,0.0,0.0006655040568307,0.0,0.0007300878883777,132.6911047961749,0.0,0.0,0.0,0.0,0.0
word_freq_85,0.0234938556745173,0.004053322401004,0.0031142799644263,0.005080512864828,275.29619294194663,2.347633016192315e-16,0.7690328633790795,0.0125651301970007,9.231254574027956e-17,1.279912648942384e-15
word_freq_technology,0.0202550026791408,0.0034566414754736,0.0021731616137115,0.0026669335794,141.77161281203598,0.1319266134867844,0.0754332245398959,0.0054146732500962,0.05311352786670406,1.0145156577133705
word_freq_1999,0.0392583290636275,0.0118834859624476,0.009022130194731,0.0093021930524084,190.921873302606,0.2563142418260358,0.2893618418692998,0.0189286738124711,0.10851183126277601,1.7646402335070055
word_freq_parts,0.0008154206823644,0.0004455870224303,0.0,0.0,16.340217780135188,6.196158214293603e-19,0.0081413307658418,1.2554015736760306e-05,1.2093591439662486e-17,1.5004515661012206e-16
word_freq_pm,0.0241920118078682,0.003142797338171,0.0,0.0058202256908652,166.76867489692472,0.0999711888998205,0.2150607567451535,0.0073567674436842,0.043460251418293044,1.110679908676999
word_freq_direct,0.0145243065328224,0.001076414174437,0.0004161180016094,0.0006197966944177,36.47963622275096,3.764416379885634e-16,0.1447834603423453,0.0108915634347665,5.08309111320943e-18,1.0563742566566748e-15
word_freq_cs,0.0,0.0012080717931771,0.0008203469174586,0.0,130.3193009944658,0.0,0.0,0.0,0.0,0.0
word_freq_meeting,0.1023376472980397,0.0062782089434294,0.0019120131157872,0.001591439544953,381.4666591012616,1.697289322291792,1.15735123105467,0.0762824682836756,1.3013709092695438,24.198758710423
word_freq_original,0.0249495529861549,0.0016296765798812,0.0017341431368805,0.0,91.99543941009212,2.988632278127396e-16,0.0819253442535941,0.007493975433172,9.979619296589067e-17,2.2736161888521557e-15
word_freq_project,0.0271749140845359,0.0023496378261458,0.0009103174073279,0.0,201.0618888796732,7.681176093428644e-16,0.8309506542914483,0.0394789680932805,3.414915237284138e-16,1.7590907924883994e-14
word_freq_re,0.0289208437967769,0.0109496032961624,0.006545268962754,0.0115438742992431,308.13986169270805,0.4659153762518783,0.5287987393223413,0.0272767965073941,0.4713091064449853,9.979780625289385
word_freq_edu,0.0968964046921864,0.0178528827459002,0.0226750430038974,0.0228124549508727,453.5111686457214,1.4162847782804002,2.159660518332048,0.0992633564737741,1.2902591207869134,31.22907936108284
word_freq_table,0.0022783523543386,0.0002566206743196,0.0008219425238687,0.0,9.811984560015553,5.3436300094239456e-17,0.0019000966232103,2.1309476425034795e-05,1.911429320149325e-17,8.830500233077674e-17
word_freq_conference,0.0,0.0010905525453836,0.0017094190286767,0.0010190110009154,83.19099927288255,0.0,0.0,0.0,0.0,0.0
char_freq_;,0.0302246329976258,0.0053018548369517,0.0062831561055877,0.0049855305926113,25.134842397930075,0.0065338696044526,0.12303807588201,0.0116037350509844,0.001506612220019811,0.027136998129787857
char_freq_(,0.0329620738480113,0.0123383742881141,0.0083519573352688,0.0133950112398462,19.446055298690457,0.0614819279724566,0.3301249327201431,0.0088725141125569,0.016566211053064484,0.5995717615874004
char_freq_[,0.063882905120652,0.0022011752533947,0.0003741078140043,0.0,13.578377211175455,0.0010970707096212,0.1739156035608305,0.0064199558891439,4.2300657131281095e-16,4.5920884132127365e-15
char_freq_!,0.1386150249238993,0.1064646005969202,0.0980529065033039,0.1115436976274517,665.5058160697545,1.957931011482736,4.686901745966751,0.1149164135910508,1.5966172762513984,63.585839286205434
char_freq_$,0.2892146216302971,0.1093966926191717,0.3302209270371363,0.2571133254617531,384.215800203284,3.4196744281767466,1.791590772286314,0.0634090217595422,0.8412148150082104,20.5370637114749
char_freq_#,0.0045801123979585,0.0041127640844523,0.0007285552809494,0.0,81.14937248717263,0.0001642668410224,0.0722285576449034,0.0006237681665568,6.375176012724641e-16,4.497468411592429e-14
capital_run_length_average,0.013276734347818,0.0604256518358094,0.0204411282258294,0.0478333360634872,10793.626067769696,0.1185212732250411,15.536594798311649,0.4597398923223247,3.7613096289751473,129.7330424970772
capital_run_length_longest,0.0002828184946401,0.0521449413462852,0.0274503292327133,0.0567543495350254,156384.9572052803,0.0006697909653112,3.9014016360036696,0.0573656196925108,0.13027588092319883,6.92862608733877
capital_run_length_total,1.71120158260616e-05,0.0368494535779883,0.0438287138305174,0.0234383407609833,370631.5540364512,3.880597979212748e-05,0.2861648267409212,0.0101281704226689,0.02357803705118186,0.6138084337240638
