feature,chi2,gini,info_gain,random_forest
V1,,0.0,0.0,0.0
V2,,0.0,0.23563492063492064,0.0
V3,1.0,0.4166666666666667,0.0,0.14970254953743595
V4,0.3333333333333333,0.09999999999999992,0.0,0.20980367300021896
V5,0.2,0.10000000000000003,0.0,0.14611942385739835
V6,0.0,0.0,1.02515873015873,0.10520065804391822
V7,0.0,0.050000000000000086,1.2844444444444445,0.07160697671061256
V8,0.0,0.0,1.2987301587301583,0.07369846465837801
V9,0.1111111111111111,0.3333333333333332,1.4427777777777775,0.0952374755604942
V10,0.1111111111111111,0.0,2.0173015873015867,0.14863077863154384
